date,day_of_week,month,bus_riders,resident_students,lunch_meals,dinner_meals,bus_riders_1days_ago,lunch_meals_1days_ago,dinner_meals_1days_ago,bus_riders_2days_ago,lunch_meals_2days_ago,dinner_meals_2days_ago,bus_riders_3days_ago,lunch_meals_3days_ago,dinner_meals_3days_ago
2023-01-02,0,1,767,233,703,188,772.7434210526316,664.1447368421053,181.14473684210526,772.7434210526316,664.1447368421053,181.14473684210526,772.7434210526316,664.1447368421053,181.14473684210526
2023-01-03,1,1,779,211,659,181,767.0,703.0,188.0,772.7434210526316,664.1447368421053,181.14473684210526,772.7434210526316,664.1447368421053,181.14473684210526
2023-01-04,2,1,800,242,663,199,779.0,659.0,181.0,767.0,703.0,188.0,772.7434210526316,664.1447368421053,181.14473684210526
2023-01-05,3,1,806,243,663,186,800.0,663.0,199.0,779.0,659.0,181.0,767.0,703.0,188.0
2023-01-06,4,1,724,215,549,155,806.0,663.0,186.0,800.0,663.0,199.0,779.0,659.0,181.0
2023-01-08,6,1,759,256,639,176,724.0,549.0,155.0,806.0,663.0,186.0,800.0,663.0,199.0
2023-01-09,0,1,886,285,805,223,759.0,639.0,176.0,724.0,549.0,155.0,806.0,663.0,186.0
2023-01-10,1,1,817,243,672,226,886.0,805.0,223.0,759.0,639.0,176.0,724.0,549.0,155.0
2023-01-11,2,1,739,234,623,184,817.0,672.0,226.0,886.0,805.0,223.0,759.0,639.0,176.0
2023-01-12,3,1,789,259,674,214,739.0,623.0,184.0,817.0,672.0,226.0,886.0,805.0,223.0
2023-01-13,4,1,728,228,612,161,789.0,674.0,214.0,739.0,623.0,184.0,817.0,672.0,226.0
2023-01-15,6,1,775,253,686,186,728.0,612.0,161.0,789.0,674.0,214.0,739.0,623.0,184.0
2023-01-16,0,1,786,225,726,160,775.0,686.0,186.0,728.0,612.0,161.0,789.0,674.0,214.0
2023-01-17,1,1,683,204,604,166,786.0,726.0,160.0,775.0,686.0,186.0,728.0,612.0,161.0
2023-01-18,2,1,706,205,548,184,683.0,604.0,166.0,786.0,726.0,160.0,775.0,686.0,186.0
2023-01-19,3,1,742,206,601,170,706.0,548.0,184.0,683.0,604.0,166.0,786.0,726.0,160.0
