date,day_of_week,month,bus_riders,resident_students,lunch_meals,dinner_meals,bus_riders_1days_ago,lunch_meals_1days_ago,dinner_meals_1days_ago,bus_riders_2days_ago,lunch_meals_2days_ago,dinner_meals_2days_ago,bus_riders_3days_ago,lunch_meals_3days_ago,dinner_meals_3days_ago
2023-01-02,0,1,741,221,628,173,775.2828947368421,669.125,181.85855263157896,775.2828947368421,669.125,181.85855263157896,775.2828947368421,669.125,181.85855263157896
2023-01-03,1,1,718,195,636,133,741.0,628.0,173.0,775.2828947368421,669.125,181.85855263157896,775.2828947368421,669.125,181.85855263157896
2023-01-04,2,1,716,210,615,176,718.0,636.0,133.0,741.0,628.0,173.0,775.2828947368421,669.125,181.85855263157896
2023-01-05,3,1,735,217,586,174,716.0,615.0,176.0,718.0,636.0,133.0,741.0,628.0,173.0
2023-01-06,4,1,709,197,556,124,735.0,586.0,174.0,716.0,615.0,176.0,718.0,636.0,133.0
2023-01-08,6,1,749,229,665,166,709.0,556.0,124.0,735.0,586.0,174.0,716.0,615.0,176.0
2023-01-09,0,1,750,236,667,182,749.0,665.0,166.0,709.0,556.0,124.0,735.0,586.0,174.0
2023-01-10,1,1,770,247,645,210,750.0,667.0,182.0,749.0,665.0,166.0,709.0,556.0,124.0
2023-01-11,2,1,752,211,677,194,770.0,645.0,210.0,750.0,667.0,182.0,749.0,665.0,166.0
2023-01-12,3,1,796,224,651,187,752.0,677.0,194.0,770.0,645.0,210.0,750.0,667.0,182.0
2023-01-13,4,1,738,249,586,210,796.0,651.0,187.0,752.0,677.0,194.0,770.0,645.0,210.0
2023-01-15,6,1,738,239,674,154,738.0,586.0,210.0,796.0,651.0,187.0,752.0,677.0,194.0
2023-01-16,0,1,676,191,604,151,738.0,674.0,154.0,738.0,586.0,210.0,796.0,651.0,187.0
2023-01-17,1,1,788,241,711,200,676.0,604.0,151.0,738.0,674.0,154.0,738.0,586.0,210.0
2023-01-18,2,1,806,223,721,210,788.0,711.0,200.0,676.0,604.0,151.0,738.0,674.0,154.0
2023-01-19,3,1,701,197,586,163,806.0,721.0,210.0,788.0,711.0,200.0,676.0,604.0,151.0
2023-01-20,4,1,792,263,652,202,701.0,586.0,163.0,806.0,721.0,210.0,788.0,711.0,200.0
2023-01-22,6,1,741,243,690,167,792.0,652.0,202.0,701.0,586.0,163.0,806.0,721.0,210.0
2023-01-23,0,1,795,203,831,135,741.0,690.0,167.0,792.0,652.0,202.0,701.0,586.0,163.0
2023-01-24,1,1,756,224,616,215,795.0,831.0,135.0,741.0,690.0,167.0,792.0,652.0,202.0
2023-01-25,2,1,739,219,639,178,756.0,616.0,215.0,795.0,831.0,135.0,741.0,690.0,167.0
2023-01-26,3,1,683,224,590,187,739.0,639.0,178.0,756.0,616.0,215.0,795.0,831.0,135.0
2023-01-27,4,1,764,219,625,154,683.0,590.0,187.0,739.0,639.0,178.0,756.0,616.0,215.0
2023-01-29,6,1,824,265,692,174,764.0,625.0,154.0,683.0,590.0,187.0,739.0,639.0,178.0
2023-01-30,0,1,878,279,786,214,824.0,692.0,174.0,764.0,625.0,154.0,683.0,590.0,187.0
2023-01-31,1,1,839,271,708,211,878.0,786.0,214.0,824.0,692.0,174.0,764.0,625.0,154.0
2023-02-01,2,2,773,269,661,229,839.0,708.0,211.0,878.0,786.0,214.0,824.0,692.0,174.0
2023-02-02,3,2,784,225,681,182,773.0,661.0,229.0,839.0,708.0,211.0,878.0,786.0,214.0
